year,stage,home_team,away_team,home_goals,away_goals,host,home_continent,away_continent
1954,Group Stage,Hungary,West Germany,8,3,Switzerland,Europe,Europe
1954,Group Stage,Turkey,South Korea,7,0,Switzerland,Europe,Asia
1954,Group Stage,West Germany,South Korea,3,1,Switzerland,Europe,Asia
1954,Group Stage,Turkey,Hungary,2,0,Switzerland,Europe,Europe
1954,Group Stage,Austria,Uruguay,2,0,Switzerland,Europe,South America
1954,Group Stage,Scotland,Austria,0,1,Switzerland,Europe,Europe
1954,Group Stage,Uruguay,Scotland,7,0,Switzerland,South America,Europe
1954,Group Stage,Austria,Scotland,1,0,Switzerland,Europe,Europe
1954,Group Stage,Uruguay,Austria,1,1,Switzerland,South America,Europe
1954,Group Stage,Italy,Switzerland,1,2,Switzerland,Europe,Europe
1954,Group Stage,England,Belgium,4,4,Switzerland,Europe,Europe
1954,Group Stage,Switzerland,Italy,4,1,Switzerland,Europe,Europe
1954,Group Stage,England,Switzerland,2,0,Switzerland,Europe,Europe
1954,Group Stage,Belgium,Italy,1,4,Switzerland,Europe,Europe
1954,Group Stage,Belgium,England,1,1,Switzerland,Europe,Europe
1954,Quarter-finals,Austria,Switzerland,7,5,Switzerland,Europe,Europe
1954,Quarter-finals,West Germany,Yugoslavia,2,0,Switzerland,Europe,Europe
1954,Quarter-finals,Hungary,Brazil,4,2,Switzerland,Europe,South America
1954,Quarter-finals,Uruguay,England,4,2,Switzerland,South America,Europe
1954,Semi-finals,West Germany,Austria,6,1,Switzerland,Europe,Europe
1954,Semi-finals,Hungary,Uruguay,4,2,Switzerland,Europe,South America
1954,Final,West Germany,Hungary,3,2,Switzerland,Europe,Europe
1954,Third place,Austria,Uruguay,3,1,Switzerland,Europe,South America
1958,Group Stage,Sweden,Mexico,3,0,Sweden,Europe,North America
1958,Group Stage,Wales,Hungary,1,1,Sweden,Europe,Europe
1958,Group Stage,Sweden,Wales,2,1,Sweden,Europe,Europe
1958,Group Stage,Hungary,Mexico,4,0,Sweden,Europe,North America
1958,Group Stage,Sweden,Hungary,2,1,Sweden,Europe,Europe
1958,Group Stage,Wales,Mexico,1,1,Sweden,Europe,North America
1958,Group Stage,West Germany,Argentina,3,1,Sweden,Europe,South America
1958,Group Stage,Northern Ireland,Czechoslovakia,1,0,Sweden,Europe,Europe
1958,Group Stage,West Germany,Czechoslovakia,2,2,Sweden,Europe,Europe
1958,Group Stage,Argentina,Northern Ireland,3,1,Sweden,South America,Europe
1958,Group Stage,West Germany,Northern Ireland,2,2,Sweden,Europe,Europe
1958,Group Stage,Czechoslovakia,Argentina,6,1,Sweden,Europe,South America
1958,Group Stage,France,Paraguay,7,3,Sweden,Europe,South America
1958,Group Stage,Yugoslavia,Scotland,1,1,Sweden,Europe,Europe
1958,Group Stage,Yugoslavia,France,3,2,Sweden,Europe,Europe
1958,Group Stage,Paraguay,Scotland,3,2,Sweden,South America,Europe
1958,Group Stage,France,Scotland,2,1,Sweden,Europe,Europe
1958,Group Stage,Yugoslavia,Paraguay,3,3,Sweden,Europe,South America
1958,Group Stage,Brazil,Austria,3,0,Sweden,South America,Europe
1958,Group Stage,England,Soviet Union,2,2,Sweden,Europe,Europe
1958,Group Stage,Soviet Union,Austria,2,0,Sweden,Europe,Europe
1958,Group Stage,Brazil,England,0,0,Sweden,South America,Europe
1958,Group Stage,Brazil,Soviet Union,2,0,Sweden,South America,Europe
1958,Group Stage,England,Austria,2,2,Sweden,Europe,Europe
1958,Quarter-finals,France,Northern Ireland,4,0,Sweden,Europe,Europe
1958,Quarter-finals,West Germany,Yugoslavia,1,0,Sweden,Europe,Europe
1958,Quarter-finals,Sweden,Soviet Union,2,0,Sweden,Europe,Europe
1958,Quarter-finals,Brazil,Wales,1,0,Sweden,South America,Europe
1958,Semi-finals,Brazil,France,5,2,Sweden,South America,Europe
1958,Semi-finals,Sweden,West Germany,3,1,Sweden,Europe,Europe
1958,Final,Brazil,Sweden,5,2,Sweden,South America,Europe
1958,Third place,France,West Germany,6,3,Sweden,Europe,Europe
1962,Group Stage,Brazil,Mexico,2,0,Chile,South America,North America
1962,Group Stage,Czechoslovakia,Spain,1,0,Chile,Europe,Europe
1962,Group Stage,Brazil,Czechoslovakia,0,0,Chile,South America,Europe
1962,Group Stage,Spain,Mexico,1,0,Chile,Europe,North America
1962,Group Stage,Brazil,Spain,2,1,Chile,South America,Europe
1962,Group Stage,Czechoslovakia,Mexico,1,0,Chile,Europe,North America
1962,Group Stage,Chile,Switzerland,3,1,Chile,South America,Europe
1962,Group Stage,Italy,West Germany,0,0,Chile,Europe,Europe
1962,Group Stage,Chile,Italy,2,0,Chile,South America,Europe
1962,Group Stage,West Germany,Switzerland,2,1,Chile,Europe,Europe
1962,Group Stage,Chile,West Germany,0,2,Chile,South America,Europe
1962,Group Stage,Italy,Switzerland,3,0,Chile,Europe,Europe
1962,Group Stage,Hungary,England,2,1,Chile,Europe,Europe
1962,Group Stage,Argentina,Bulgaria,1,0,Chile,South America,Europe
1962,Group Stage,Hungary,Bulgaria,6,1,Chile,Europe,Europe
1962,Group Stage,England,Argentina,3,1,Chile,Europe,South America
1962,Group Stage,Hungary,Argentina,0,0,Chile,Europe,South America
1962,Group Stage,England,Bulgaria,0,0,Chile,Europe,Europe
1962,Group Stage,Soviet Union,Yugoslavia,2,0,Chile,Europe,Europe
1962,Group Stage,Uruguay,Colombia,2,1,Chile,South America,South America
1962,Group Stage,Soviet Union,Colombia,4,4,Chile,Europe,South America
1962,Group Stage,Yugoslavia,Uruguay,3,1,Chile,Europe,South America
1962,Group Stage,Soviet Union,Uruguay,2,1,Chile,Europe,South America
1962,Group Stage,Yugoslavia,Colombia,5,0,Chile,Europe,South America
1962,Quarter-finals,Chile,Soviet Union,2,1,Chile,South America,Europe
1962,Quarter-finals,Czechoslovakia,Hungary,1,0,Chile,Europe,Europe
1962,Quarter-finals,Brazil,England,3,1,Chile,South America,Europe
1962,Quarter-finals,Yugoslavia,West Germany,1,0,Chile,Europe,Europe
1962,Semi-finals,Czechoslovakia,Yugoslavia,3,1,Chile,Europe,Europe
1962,Semi-finals,Brazil,Chile,4,2,Chile,South America,South America
1962,Final,Brazil,Czechoslovakia,3,1,Chile,South America,Europe
1962,Third place,Chile,Yugoslavia,1,0,Chile,South America,Europe
1966,Group Stage,England,Uruguay,0,0,England,Europe,South America
1966,Group Stage,Mexico,France,1,1,England,North America,Europe
1966,Group Stage,England,Mexico,2,0,England,Europe,North America
1966,Group Stage,Uruguay,France,2,1,England,South America,Europe
1966,Group Stage,England,France,2,0,England,Europe,Europe
1966,Group Stage,Uruguay,Mexico,0,0,England,South America,North America
1966,Group Stage,West Germany,Argentina,5,0,England,Europe,South America
1966,Group Stage,Spain,Switzerland,2,1,England,Europe,Europe
1966,Group Stage,West Germany,Spain,2,1,England,Europe,Europe
1966,Group Stage,Argentina,Switzerland,2,0,England,South America,Europe
1966,Group Stage,West Germany,Switzerland,0,0,England,Europe,Europe
1966,Group Stage,Argentina,Spain,1,0,England,South America,Europe
1966,Group Stage,Portugal,Hungary,3,1,England,Europe,Europe
1966,Group Stage,Brazil,Bulgaria,2,0,England,South America,Europe
1966,Group Stage,Hungary,Brazil,3,1,England,Europe,South America
1966,Group Stage,Portugal,Brazil,3,0,England,Europe,South America
1966,Group Stage,Portugal,Bulgaria,3,0,England,Europe,Europe
1966,Group Stage,Hungary,Bulgaria,3,1,England,Europe,Europe
1966,Group Stage,Soviet Union,Italy,1,0,England,Europe,Europe
1966,Group Stage,North Korea,Chile,1,1,England,Asia,South America
1966,Group Stage,Soviet Union,Chile,1,1,England,Europe,South America
1966,Group Stage,Italy,Chile,2,0,England,Europe,South America
1966,Group Stage,Soviet Union,North Korea,3,0,England,Europe,Asia
1966,Group Stage,Italy,North Korea,0,1,England,Europe,Asia
1966,Quarter-finals,England,Argentina,1,0,England,Europe,South America
1966,Quarter-finals,Soviet Union,Hungary,2,1,England,Europe,Europe
1966,Quarter-finals,Portugal,North Korea,5,3,England,Europe,Asia
1966,Quarter-finals,West Germany,Uruguay,4,0,England,Europe,South America
1966,Semi-finals,England,Portugal,2,1,England,Europe,Europe
1966,Semi-finals,West Germany,Soviet Union,2,1,England,Europe,Europe
1966,Final,England,West Germany,4,2,England,Europe,Europe
1966,Third place,Portugal,Soviet Union,2,1,England,Europe,Europe
1970,Group Stage,Mexico,Soviet Union,0,0,Mexico,North America,Europe
1970,Group Stage,Belgium,El Salvador,3,0,Mexico,Europe,North America
1970,Group Stage,Soviet Union,Belgium,4,1,Mexico,Europe,Europe
1970,Group Stage,Mexico,El Salvador,4,0,Mexico,North America,North America
1970,Group Stage,Soviet Union,El Salvador,2,0,Mexico,Europe,North America
1970,Group Stage,Mexico,Belgium,1,0,Mexico,North America,Europe
1970,Group Stage,Italy,Sweden,1,0,Mexico,Europe,Europe
1970,Group Stage,Uruguay,Israel,2,0,Mexico,South America,Asia
1970,Group Stage,Uruguay,Italy,0,0,Mexico,South America,Europe
1970,Group Stage,Sweden,Israel,1,1,Mexico,Europe,Asia
1970,Group Stage,Italy,Israel,1,0,Mexico,Europe,Asia
1970,Group Stage,Uruguay,Sweden,0,1,Mexico,South America,Europe
1970,Group Stage,Brazil,Czechoslovakia,4,1,Mexico,South America,Europe
1970,Group Stage,Romania,England,0,1,Mexico,Europe,Europe
1970,Group Stage,Romania,Czechoslovakia,2,1,Mexico,Europe,Europe
1970,Group Stage,Brazil,England,1,0,Mexico,South America,Europe
1970,Group Stage,Brazil,Romania,3,2,Mexico,South America,Europe
1970,Group Stage,England,Czechoslovakia,1,0,Mexico,Europe,Europe
1970,Group Stage,West Germany,Morocco,2,1,Mexico,Europe,Africa
1970,Group Stage,Peru,Bulgaria,3,2,Mexico,South America,Europe
1970,Group Stage,West Germany,Bulgaria,5,2,Mexico,Europe,Europe
1970,Group Stage,Peru,Morocco,3,0,Mexico,South America,Africa
1970,Group Stage,West Germany,Peru,3,1,Mexico,Europe,South America
1970,Group Stage,Bulgaria,Morocco,1,1,Mexico,Europe,Africa
1970,Quarter-finals,Italy,Mexico,4,1,Mexico,Europe,North America
1970,Quarter-finals,Brazil,Peru,4,2,Mexico,South America,South America
1970,Quarter-finals,Uruguay,Soviet Union,1,0,Mexico,South America,Europe
1970,Quarter-finals,West Germany,England,3,2,Mexico,Europe,Europe
1970,Semi-finals,Italy,West Germany,4,3,Mexico,Europe,Europe
1970,Semi-finals,Brazil,Uruguay,3,1,Mexico,South America,South America
1970,Final,Brazil,Italy,4,1,Mexico,South America,Europe
1970,Third place,West Germany,Uruguay,1,0,Mexico,Europe,South America
1974,Group Stage,West Germany,Chile,1,0,West Germany,Europe,South America
1974,Group Stage,East Germany,Australia,2,0,West Germany,Europe,Oceania
1974,Group Stage,Chile,Australia,0,0,West Germany,South America,Oceania
1974,Group Stage,East Germany,Chile,1,1,West Germany,Europe,South America
1974,Group Stage,West Germany,Australia,3,0,West Germany,Europe,Oceania
1974,Group Stage,West Germany,East Germany,0,1,West Germany,Europe,Europe
1974,Group Stage,Brazil,Yugoslavia,0,0,West Germany,South America,Europe
1974,Group Stage,Zaire,Scotland,0,2,West Germany,Africa,Europe
1974,Group Stage,Brazil,Scotland,0,0,West Germany,South America,Europe
1974,Group Stage,Yugoslavia,Zaire,9,0,West Germany,Europe,Africa
1974,Group Stage,Brazil,Zaire,3,0,West Germany,South America,Africa
1974,Group Stage,Scotland,Yugoslavia,1,1,West Germany,Europe,Europe
1974,Group Stage,Netherlands,Uruguay,2,0,West Germany,Europe,South America
1974,Group Stage,Sweden,Bulgaria,0,0,West Germany,Europe,Europe
1974,Group Stage,Netherlands,Sweden,0,0,West Germany,Europe,Europe
1974,Group Stage,Bulgaria,Uruguay,1,1,West Germany,Europe,South America
1974,Group Stage,Netherlands,Bulgaria,4,1,West Germany,Europe,Europe
1974,Group Stage,Sweden,Uruguay,3,0,West Germany,Europe,South America
1974,Group Stage,Italy,Poland,1,2,West Germany,Europe,Europe
1974,Group Stage,Argentina,Haiti,3,1,West Germany,South America,North America
1974,Group Stage,Argentina,Poland,2,3,West Germany,South America,Europe
1974,Group Stage,Italy,Haiti,3,1,West Germany,Europe,North America
1974,Group Stage,Argentina,Italy,1,1,West Germany,South America,Europe
1974,Group Stage,Poland,Haiti,7,0,West Germany,Europe,North America
1974,Second Group Stage,Brazil,East Germany,1,0,West Germany,South America,Europe
1974,Second Group Stage,Netherlands,Argentina,4,0,West Germany,Europe,South America
1974,Second Group Stage,Netherlands,East Germany,2,0,West Germany,Europe,Europe
1974,Second Group Stage,Brazil,Argentina,2,1,West Germany,South America,South America
1974,Second Group Stage,Netherlands,Brazil,2,0,West Germany,Europe,South America
1974,Second Group Stage,Argentina,East Germany,1,1,West Germany,South America,Europe
1974,Second Group Stage,Yugoslavia,West Germany,0,2,West Germany,Europe,Europe
1974,Second Group Stage,Sweden,Poland,0,1,West Germany,Europe,Europe
1974,Second Group Stage,West Germany,Sweden,4,1,West Germany,Europe,Europe
1974,Second Group Stage,Poland,Yugoslavia,2,1,West Germany,Europe,Europe
1974,Second Group Stage,West Germany,Poland,1,0,West Germany,Europe,Europe
1974,Second Group Stage,Sweden,Yugoslavia,2,1,West Germany,Europe,Europe
1974,Final,West Germany,Netherlands,2,1,West Germany,Europe,Europe
1974,Third place,Brazil,Poland,0,1,West Germany,South America,Europe
1978,Group Stage,Argentina,Hungary,2,1,Argentina,South America,Europe
1978,Group Stage,Italy,France,2,1,Argentina,Europe,Europe
1978,Group Stage,Argentina,France,2,1,Argentina,South America,Europe
1978,Group Stage,Italy,Hungary,3,1,Argentina,Europe,Europe
1978,Group Stage,Argentina,Italy,0,1,Argentina,South America,Europe
1978,Group Stage,France,Hungary,3,1,Argentina,Europe,Europe
1978,Group Stage,West Germany,Poland,0,0,Argentina,Europe,Europe
1978,Group Stage,Tunisia,Mexico,3,1,Argentina,Africa,North America
1978,Group Stage,West Germany,Mexico,6,0,Argentina,Europe,North America
1978,Group Stage,Poland,Tunisia,1,0,Argentina,Europe,Africa
1978,Group Stage,West Germany,Tunisia,0,0,Argentina,Europe,Africa
1978,Group Stage,Poland,Mexico,3,1,Argentina,Europe,North America
1978,Group Stage,Austria,Spain,2,1,Argentina,Europe,Europe
1978,Group Stage,Brazil,Sweden,1,1,Argentina,South America,Europe
1978,Group Stage,Brazil,Spain,0,0,Argentina,South America,Europe
1978,Group Stage,Austria,Sweden,1,0,Argentina,Europe,Europe
1978,Group Stage,Brazil,Austria,1,0,Argentina,South America,Europe
1978,Group Stage,Spain,Sweden,1,0,Argentina,Europe,Europe
1978,Group Stage,Peru,Scotland,3,1,Argentina,South America,Europe
1978,Group Stage,Netherlands,Iran,3,0,Argentina,Europe,Asia
1978,Group Stage,Scotland,Iran,1,1,Argentina,Europe,Asia
1978,Group Stage,Netherlands,Peru,0,0,Argentina,Europe,South America
1978,Group Stage,Netherlands,Scotland,2,3,Argentina,Europe,Europe
1978,Group Stage,Peru,Iran,4,1,Argentina,South America,Asia
1978,Second Group Stage,Austria,Netherlands,1,1,Argentina,Europe,Europe
1978,Second Group Stage,Italy,West Germany,0,0,Argentina,Europe,Europe
1978,Second Group Stage,Netherlands,West Germany,2,2,Argentina,Europe,Europe
1978,Second Group Stage,Italy,Austria,1,0,Argentina,Europe,Europe
1978,Second Group Stage,Netherlands,Italy,2,1,Argentina,Europe,Europe
1978,Second Group Stage,West Germany,Austria,2,3,Argentina,Europe,Europe
1978,Second Group Stage,Brazil,Peru,3,0,Argentina,South America,South America
1978,Second Group Stage,Argentina,Poland,2,0,Argentina,South America,Europe
1978,Second Group Stage,Poland,Peru,1,0,Argentina,Europe,South America
1978,Second Group Stage,Argentina,Brazil,0,0,Argentina,South America,South America
1978,Second Group Stage,Brazil,Poland,3,1,Argentina,South America,Europe
1978,Second Group Stage,Argentina,Peru,6,0,Argentina,South America,South America
1978,Final,Argentina,Netherlands,3,1,Argentina,South America,Europe
1978,Third place,Brazil,Italy,2,1,Argentina,South America,Europe
1982,Group Stage,Italy,Poland,0,0,Spain,Europe,Europe
1982,Group Stage,Peru,Cameroon,0,0,Spain,South America,Africa
1982,Group Stage,Italy,Peru,1,1,Spain,Europe,South America
1982,Group Stage,Poland,Cameroon,0,0,Spain,Europe,Africa
1982,Group Stage,Poland,Peru,5,1,Spain,Europe,South America
1982,Group Stage,Italy,Cameroon,1,1,Spain,Europe,Africa
1982,Group Stage,West Germany,Algeria,1,2,Spain,Europe,Africa
1982,Group Stage,Chile,Austria,0,1,Spain,South America,Europe
1982,Group Stage,West Germany,Chile,4,1,Spain,Europe,South America
1982,Group Stage,Austria,Algeria,2,0,Spain,Europe,Africa
1982,Group Stage,West Germany,Austria,1,0,Spain,Europe,Europe
1982,Group Stage,Chile,Algeria,2,3,Spain,South America,Africa
1982,Group Stage,Belgium,Argentina,1,0,Spain,Europe,South America
1982,Group Stage,Hungary,El Salvador,10,1,Spain,Europe,North America
1982,Group Stage,Argentina,Hungary,4,1,Spain,South America,Europe
1982,Group Stage,Belgium,El Salvador,1,0,Spain,Europe,North America
1982,Group Stage,Belgium,Hungary,1,1,Spain,Europe,Europe
1982,Group Stage,Argentina,El Salvador,2,0,Spain,South America,North America
1982,Group Stage,England,France,3,1,Spain,Europe,Europe
1982,Group Stage,Czechoslovakia,Kuwait,1,1,Spain,Europe,Asia
1982,Group Stage,England,Czechoslovakia,2,0,Spain,Europe,Europe
1982,Group Stage,France,Kuwait,4,1,Spain,Europe,Asia
1982,Group Stage,England,Kuwait,1,0,Spain,Europe,Asia
1982,Group Stage,France,Czechoslovakia,1,1,Spain,Europe,Europe
1982,Group Stage,Spain,Honduras,1,1,Spain,Europe,North America
1982,Group Stage,Yugoslavia,Northern Ireland,0,0,Spain,Europe,Europe
1982,Group Stage,Spain,Yugoslavia,2,1,Spain,Europe,Europe
1982,Group Stage,Northern Ireland,Honduras,1,1,Spain,Europe,North America
1982,Group Stage,Spain,Northern Ireland,0,1,Spain,Europe,Europe
1982,Group Stage,Yugoslavia,Honduras,1,0,Spain,Europe,North America
1982,Group Stage,Brazil,Soviet Union,2,1,Spain,South America,Europe
1982,Group Stage,Scotland,New Zealand,5,2,Spain,Europe,Oceania
1982,Group Stage,Brazil,Scotland,4,1,Spain,South America,Europe
1982,Group Stage,Soviet Union,New Zealand,3,0,Spain,Europe,Oceania
1982,Group Stage,Brazil,New Zealand,4,0,Spain,South America,Oceania
1982,Group Stage,Soviet Union,Scotland,2,2,Spain,Europe,Europe
1982,Second Group Stage,Poland,Belgium,3,0,Spain,Europe,Europe
1982,Second Group Stage,Belgium,Soviet Union,0,1,Spain,Europe,Europe
1982,Second Group Stage,Poland,Soviet Union,0,0,Spain,Europe,Europe
1982,Second Group Stage,West Germany,England,0,0,Spain,Europe,Europe
1982,Second Group Stage,West Germany,Spain,2,1,Spain,Europe,Europe
1982,Second Group Stage,England,Spain,0,0,Spain,Europe,Europe
1982,Second Group Stage,Italy,Argentina,2,1,Spain,Europe,South America
1982,Second Group Stage,Argentina,Brazil,1,3,Spain,South America,South America
1982,Second Group Stage,Italy,Brazil,3,2,Spain,Europe,South America
1982,Second Group Stage,France,Austria,1,0,Spain,Europe,Europe
1982,Second Group Stage,Austria,Northern Ireland,2,2,Spain,Europe,Europe
1982,Second Group Stage,France,Northern Ireland,4,1,Spain,Europe,Europe
1982,Semi-finals,Italy,Poland,2,0,Spain,Europe,Europe
1982,Semi-finals,West Germany,France,3,3,Spain,Europe,Europe
1982,Final,Italy,West Germany,3,1,Spain,Europe,Europe
1982,Third place,Poland,France,3,2,Spain,Europe,Europe
1986,Group Stage,Bulgaria,Italy,1,1,Mexico,Europe,Europe
1986,Group Stage,Argentina,South Korea,3,1,Mexico,South America,Asia
1986,Group Stage,Italy,South Korea,3,2,Mexico,Europe,Asia
1986,Group Stage,Argentina,Bulgaria,2,0,Mexico,South America,Europe
1986,Group Stage,Argentina,Italy,1,1,Mexico,South America,Europe
1986,Group Stage,Bulgaria,South Korea,1,1,Mexico,Europe,Asia
1986,Group Stage,Mexico,Belgium,2,1,Mexico,North America,Europe
1986,Group Stage,Paraguay,Iraq,1,0,Mexico,South America,Asia
1986,Group Stage,Mexico,Paraguay,1,1,Mexico,North America,South America
1986,Group Stage,Belgium,Iraq,2,1,Mexico,Europe,Asia
1986,Group Stage,Mexico,Iraq,1,0,Mexico,North America,Asia
1986,Group Stage,Belgium,Paraguay,2,2,Mexico,Europe,South America
1986,Group Stage,France,Canada,1,0,Mexico,Europe,North America
1986,Group Stage,Soviet Union,Hungary,6,0,Mexico,Europe,Europe
1986,Group Stage,Soviet Union,France,1,1,Mexico,Europe,Europe
1986,Group Stage,Hungary,Canada,2,0,Mexico,Europe,North America
1986,Group Stage,France,Hungary,3,0,Mexico,Europe,Europe
1986,Group Stage,Soviet Union,Canada,2,0,Mexico,Europe,North America
1986,Group Stage,Brazil,Spain,1,0,Mexico,South America,Europe
1986,Group Stage,Northern Ireland,Algeria,1,1,Mexico,Europe,Africa
1986,Group Stage,Brazil,Northern Ireland,3,0,Mexico,South America,Europe
1986,Group Stage,Spain,Algeria,2,1,Mexico,Europe,Africa
1986,Group Stage,Brazil,Algeria,1,0,Mexico,South America,Africa
1986,Group Stage,Spain,Northern Ireland,3,0,Mexico,Europe,Europe
1986,Group Stage,West Germany,Uruguay,1,1,Mexico,Europe,South America
1986,Group Stage,Denmark,Scotland,1,0,Mexico,Europe,Europe
1986,Group Stage,Denmark,Uruguay,6,1,Mexico,Europe,South America
1986,Group Stage,West Germany,Scotland,2,1,Mexico,Europe,Europe
1986,Group Stage,West Germany,Denmark,0,2,Mexico,Europe,Europe
1986,Group Stage,Scotland,Uruguay,0,0,Mexico,Europe,South America
1986,Group Stage,England,Portugal,0,1,Mexico,Europe,Europe
1986,Group Stage,Morocco,Poland,0,0,Mexico,Africa,Europe
1986,Group Stage,England,Morocco,0,0,Mexico,Europe,Africa
